figure,file_png,file_pdf,title,caption
Figure 1,figures\012\fig01_geometry_domain_sampling.png,figures\012\fig01_geometry_domain_sampling.pdf,"Geometry, domain, and sampling layout","Production domain Lin=2D, Lout=8D with heated tube/fins, wake probes, and high-cadence sampling used for force, heat-transfer, POD, and coherence analyses."
Figure 2,figures\012\fig02_forces_cl_psd.png,figures\012\fig02_forces_cl_psd.pdf,"Cd(t), Cl(t), and PSD(Cl)",Production-window force histories and lift spectrum show the established periodic regime with shedding near St=0.154 and a strong second-harmonic/adjacent-peak component.
Figure 3,figures\012\fig03_heat_balance_nu_closure.png,figures\012\fig03_heat_balance_nu_closure.pdf,Heat balance and Nusselt closure,"Wall-integrated and air-side heat rates close within about one percent, while Nu_EB and wall-side Nu provide independent, consistent heat-transfer estimates."
Figure 4,figures\012\fig04_tube_nu_mean_rms.png,figures\012\fig04_tube_nu_mean_rms.pdf,"Mean and RMS Nu(theta,z) on the tube",Mean and RMS maps expose the circumferential/spanwise organization of tube heat transfer and identify where unsteady shedding modulates local Nu.
Figure 5,figures\012\fig05_phase_averaged_tube_nu_theta.png,figures\012\fig05_phase_averaged_tube_nu_theta.pdf,Phase-averaged Nu(theta),Eight phase-conditioned tube profiles show how the circumferential heat-transfer peak moves and changes intensity over the shedding cycle.
Figure 6,figures\012\fig06_fin_nu_mean_rms_coherence.png,figures\012\fig06_fin_nu_mean_rms_coherence.pdf,Nu_local(x) on fins,"Mean, RMS, and lift-coherence profiles on the two heated fin surfaces identify streamwise regions actively coupled to vortex shedding."
Figure 7,figures\012\fig07_pod_energy_modes.png,figures\012\fig07_pod_energy_modes.pdf,POD energy and mode 1/2 maps,The first two modes form the dominant shedding pair in velocity and temperature; the spatial mode maps show the coherent wake/thermal structures.
Figure 8,figures\012\fig08_epod_cl_thermal_structure.png,figures\012\fig08_epod_cl_thermal_structure.pdf,EPOD / Cl-correlated thermal structure,EPOD regression fields and single-frequency coherent amplitudes expose the midspan thermal structures correlated with lift and heat-transfer metrics.
Figure 9,figures\012\fig09_cl_nu_coherence_maps.png,figures\012\fig09_cl_nu_coherence_maps.pdf,Coherence Cl <-> local Nu,Spatial coherence maps reveal localized fundamental coupling and nearly global second-harmonic organization of the local heat-transfer response.
Figure 10,figures\012\fig10_mechanism_schematic.png,figures\012\fig10_mechanism_schematic.pdf,Summary mechanism schematic,"Conceptual mechanism distilled from the production run: shedding phase drives coherent wake probes, local tube/fin Nu redistribution, and a delayed fin-dominated heat-transfer response while maintaining global heat-balance closure."
